,Date,DXY
655,2020-08-10,93.58000183105467
656,2020-08-11,93.62999725341795
657,2020-08-12,93.44000244140624
658,2020-08-13,93.33999633789062
659,2020-08-14,93.0999984741211
660,2020-08-17,92.8499984741211
661,2020-08-18,92.2699966430664
662,2020-08-19,92.88999938964844
663,2020-08-20,92.79000091552734
664,2020-08-21,93.25
665,2020-08-24,93.3000030517578
666,2020-08-25,93.0199966430664
667,2020-08-26,93.01000213623048
668,2020-08-27,93.01000213623048
669,2020-08-28,92.37000274658205
670,2020-08-31,92.13999938964844
671,2020-09-01,92.33999633789062
672,2020-09-02,92.8499984741211
673,2020-09-03,92.73999786376952
674,2020-09-04,92.72000122070312
675,2020-09-08,93.4800033569336
676,2020-09-09,93.26000213623048
677,2020-09-10,93.33999633789062
678,2020-09-11,93.33000183105467
679,2020-09-14,93.06999969482422
680,2020-09-15,93.0500030517578
681,2020-09-16,93.20999908447266
682,2020-09-17,92.97000122070312
683,2020-09-18,92.93000030517578
684,2020-09-21,93.54000091552734
685,2020-09-22,93.98999786376952
686,2020-09-23,94.38999938964844
687,2020-09-24,94.3499984741211
688,2020-09-25,94.58000183105467
689,2020-09-28,94.26000213623048
690,2020-09-29,93.88999938964844
691,2020-09-30,93.88999938964844
692,2020-10-01,93.70999908447266
693,2020-10-02,93.83999633789062
694,2020-10-05,93.51000213623048
695,2020-10-06,93.83000183105467
696,2020-10-07,93.62999725341795
697,2020-10-08,93.61000061035156
698,2020-10-09,93.05999755859376
699,2020-10-12,93.06999969482422
700,2020-10-13,93.52999877929688
701,2020-10-14,93.37999725341795
702,2020-10-15,93.86000061035156
703,2020-10-16,93.68000030517578
704,2020-10-19,93.43000030517578
705,2020-10-20,93.06999969482422
706,2020-10-21,92.61000061035156
707,2020-10-22,92.9499969482422
708,2020-10-23,92.7699966430664
709,2020-10-26,93.0500030517578
710,2020-10-27,92.94000244140624
711,2020-10-28,93.41000366210938
712,2020-10-29,93.95999908447266
713,2020-10-30,94.04000091552734
714,2020-11-02,94.0500030517578
715,2020-11-03,93.5500030517578
716,2020-11-04,93.41000366210938
717,2020-11-05,92.52999877929688
718,2020-11-06,92.2300033569336
719,2020-11-09,92.7300033569336
720,2020-11-10,92.75
721,2020-11-11,93.04000091552734
722,2020-11-12,92.95999908447266
723,2020-11-13,92.76000213623048
724,2020-11-16,92.56999969482422
725,2020-11-17,92.41999816894533
726,2020-11-18,92.31999969482422
727,2020-11-19,92.29000091552734
728,2020-11-20,92.38999938964844
729,2020-11-23,92.51000213623048
730,2020-11-24,92.2300033569336
731,2020-11-25,91.98999786376952
732,2020-11-27,91.79000091552734
733,2020-11-30,91.87000274658205
734,2020-12-01,91.30999755859376
735,2020-12-02,91.12000274658205
736,2020-12-03,90.70999908447266
737,2020-12-04,90.6999969482422
738,2020-12-07,90.79000091552734
739,2020-12-08,90.97000122070312
740,2020-12-09,91.08999633789062
741,2020-12-10,90.79000091552734
742,2020-12-11,90.9800033569336
743,2020-12-14,90.70999908447266
744,2020-12-15,90.47000122070312
745,2020-12-16,90.4499969482422
746,2020-12-17,89.81999969482422
747,2020-12-18,90.0199966430664
748,2020-12-21,90.04000091552734
749,2020-12-22,90.6500015258789
750,2020-12-23,90.41000366210938
751,2020-12-24,90.33000183105467
752,2020-12-28,90.33999633789062
753,2020-12-29,90.01000213623047
754,2020-12-30,89.62999725341797
755,2020-12-31,89.94000244140625
756,2021-01-04,89.87999725341797
757,2021-01-05,89.44000244140625
758,2021-01-06,89.52999877929688
759,2021-01-07,89.83000183105469
760,2021-01-08,90.0999984741211
761,2021-01-11,90.54000091552734
762,2021-01-12,90.05000305175781
763,2021-01-13,90.31999969482422
764,2021-01-14,90.23999786376952
765,2021-01-15,90.77999877929688
766,2021-01-19,90.5
767,2021-01-20,90.47000122070312
768,2021-01-21,90.12999725341795
769,2021-01-22,90.23999786376952
770,2021-01-25,90.38999938964844
771,2021-01-26,90.16999816894533
772,2021-01-27,90.6500015258789
773,2021-01-28,90.45999908447266
774,2021-01-29,90.58000183105467
775,2021-02-01,91.0199966430664
776,2021-02-02,91.1999969482422
777,2021-02-03,91.12000274658205
778,2021-02-04,91.52999877929688
779,2021-02-05,91.04000091552734
780,2021-02-08,90.93000030517578
781,2021-02-09,90.44000244140624
782,2021-02-10,90.37000274658205
